SPECIES,FR,TIME,SALINITY,CF,PCNKA,GNKA,MOISTURE,HEMATOCRIT,OSMOLALITY,LACTATE,GLUCOSE
G,100.0,12,8,0.44,4.7,10.2,80.0,25.0,280,1.9,62.5
G,100.0,12,8,0.42,5.4,3.0,79.4,22.0,273,1.9,56.1
G,100.0,12,8,0.42,7.9,10.7,79.2,24.5,313,2.7,55.8
G,100.0,12,8,0.40,5.7,4.9,81.6,25.5,279,1.8,68.2
G,100.0,12,8,0.43,5.3,5.8,80.1,25.0,298,5.8,108.0
G,100.0,12,8,0.41,4.7,8.1,78.9,29.0,289,6.3,75.4
G,100.0,12,16,0.40,4.8,6.1,79.6,27.0,245,3.8,61.0
G,100.0,12,16,0.40,11.6,7.7,80.1,24.5,264,13.8,104.0
G,100.0,12,16,0.40,6.1,12.4,79.9,28.0,269,16.9,142.0
G,100.0,12,16,0.41,5.3,4.7,80.2,29.0,272,15.5,76.5
G,100.0,12,16,0.41,6.8,5.6,79.6,24.0,272,14.6,70.6
G,100.0,12,16,0.44,6.8,17.6,82.7,25.5,265,12.8,86.4
G,100.0,12,32,0.36,6.1,16.9,77.3,25.5,325,16.7,147.0
G,100.0,12,32,0.40,4.8,10.0,78.4,22.0,377,10.1,142.0
G,100.0,12,32,0.34,7.6,4.5,76.0,20.5,336,12.7,101.0
G,100.0,12,32,0.40,6.3,14.1,76.1,24.5,324,9.5,107.0
G,100.0,12,32,0.39,8.0,8.0,77.9,25.5,311,16.7,84.1
G,100.0,12,32,0.39,5.8,6.0,76.9,25.5,315,17.5,79.5
G,12.5,72,0,0.29,7.0,13.5,89.3,28.5,252,2.5,30.3
G,12.5,72,0,0.29,7.8,2.7,85.5,29.5,290,6.3,59.1
G,12.5,72,0,0.32,6.6,2.8,86.6,26.0,279,3.3,42.4
G,12.5,72,0,0.26,8.9,5.2,84.9,27.5,276,5.7,48.3
G,12.5,72,0,0.35,5.9,14.7,83.4,29.5,276,6.3,59.0
G,12.5,72,0,0.30,11.3,5.3,83.5,28.5,264,4.6,59.7
G,12.5,72,8,0.33,7.8,10.5,86.4,20.5,267,3.5,58.5
G,12.5,72,8,0.30,10.3,2.2,87.6,25.0,285,2.2,42.3
G,12.5,72,8,0.36,6.3,14.5,85.5,25.0,272,3.6,52.8
G,12.5,72,8,0.35,8.5,12.5,85.1,25.5,274,5.0,58.1
G,12.5,72,8,0.29,9.4,22.8,87.0,25.5,269,1.7,54.9
G,12.5,72,8,0.31,10.2,2.4,87.1,23.5,276,2.4,47.6
G,12.5,72,16,0.31,10.1,5.4,84.9,24.5,269,5.5,51.1
G,12.5,72,16,0.27,11.1,28.9,85.5,23.5,270,2.9,48.1
G,12.5,72,16,0.29,7.6,18.1,84.6,25.5,272,1.8,52.3
G,12.5,72,16,0.31,10.4,12.2,86.6,18.5,281,3.0,52.3
G,12.5,72,16,0.29,8.9,14.5,87.3,23.5,271,4.1,45.8
G,12.5,72,16,0.36,10.2,20.9,90.1,21.0,276,2.0,48.1
G,12.5,72,32,0.24,16.0,6.3,86.9,23.5,354,5.1,84.2
G,12.5,72,32,0.24,18.3,5.8,87.2,23.0,313,4.8,51.5
G,12.5,72,32,0.26,16.8,20.5,83.4,15.0,380,9.0,66.6
G,12.5,72,32,0.26,20.1,9.8,85.6,25.0,339,5.4,52.7
G,25.0,72,0,0.32,6.8,18.0,82.5,25.5,266,7.3,48.3
G,25.0,72,0,0.31,7.9,16.5,84.0,25.5,273,NA,NA
G,25.0,72,0,0.34,7.8,3.6,82.7,27.0,274,4.9,46.3
G,25.0,72,0,0.30,8.0,5.3,84.6,25.5,269,0.9,40.1
G,25.0,72,0,0.32,9.5,13.0,87.5,23.5,253,1.8,60.1
G,25.0,72,0,0.32,8.3,21.5,83.8,24.5,267,9.5,85.4
G,25.0,72,8,0.32,8.5,4.3,83.4,19.5,271,1.9,46.0
G,25.0,72,8,0.32,8.8,22.4,84.2,20.5,267,2.0,55.1
G,25.0,72,8,0.29,4.8,16.4,86.1,22.5,266,3.0,59.5
G,25.0,72,8,0.29,8.7,1.8,85.3,22.0,271,3.2,52.6
G,25.0,72,8,0.31,7.5,2.3,87.5,18.0,268,2.4,50.8
G,25.0,72,8,0.32,9.2,8.1,83.2,24.0,269,3.9,50.9
G,25.0,72,16,0.31,6.7,2.4,86.6,18.0,270,4.5,50.3
G,25.0,72,16,0.37,9.0,3.1,85.6,22.0,275,3.9,58.6
G,25.0,72,16,0.44,10.5,13.7,84.4,24.5,283,5.7,56.3
G,25.0,72,16,0.28,8.5,9.0,83.2,20.5,283,9.2,61.2
G,25.0,72,16,0.29,7.0,2.6,89.3,19.5,270,3.0,60.7
G,25.0,72,16,0.33,10.0,14.5,84.9,23.0,275,2.9,51.1
G,25.0,72,32,0.29,16.8,5.6,81.4,22.5,318,6.2,45.6
G,25.0,72,32,0.34,15.6,3.3,82.1,22.5,314,5.6,52.7
G,25.0,72,32,0.31,21.2,5.0,83.4,21.0,320,6.9,55.2
G,25.0,72,32,0.34,18.5,18.1,82.5,23.5,309,12.4,61.6
G,25.0,72,32,0.36,15.0,3.8,83.1,20.5,322,5.5,47.8
G,50.0,72,0,0.35,6.7,19.8,83.0,24.5,267,12.0,73.7
G,50.0,72,0,0.32,5.9,5.2,82.2,26.5,272,6.8,46.1
